sku,brand,category,name,previous_price,sale_price,promo
"MMM36852","3M","Masking & Surface Protection","3M Dirt Trap Protection Material 28in",668.99,499.99,""
"MMM05916","3M","Masking & Surface Protection","3M Welding and Spark Deflection Paper",244.99,149.99,""
"MMM05917","3M","Masking & Surface Protection","3M Weld-Thru Coating II",47.99,39.99,""
"MMM07847","3M","Masking & Surface Protection","3M Scotch-Brite Red Durable Flex Pads",37.99,37.99,"Buy 2 Cases Get 1 Free"
"MMM07848","3M","Masking & Surface Protection","3M Scotch-Brite Grey Durable Flex Pads",37.99,37.99,"Buy 2 Cases Get 1 Free"
"MMM26000","3M","Spray Guns & PPS Systems","3M PPS Series 2.0 Standard",169.99,119.99,""
"MMM26024","3M","Spray Guns & PPS Systems","3M PPS Spray Cup Large",175.99,124.99,""
"MMM26112","3M","Spray Guns & PPS Systems","3M PPS 2.0 Kit",175.99,109.99,""
"MMM26114","3M","Spray Guns & PPS Systems","3M PPS 2.0 Mini Kit",159.99,99.99,""
"MMM26163","3M","Spray Guns & PPS Systems","3M PPS 2.0 Vented Cups Standard",201.99,69.99,""
"MMM26164","3M","Spray Guns & PPS Systems","3M PPS 2.0 Vented Large Cups",201.99,89.99,""
"MMM26301","3M","Spray Guns & PPS Systems","3M PPS 2.0 Medium Lids & Liners",169.99,119.99,""
"MMM26689","3M","Spray Guns & PPS Systems","3M High Power Spray Gun Cleaner",16.99,16.99,"Buy 2 Cases Get 1 Free"
"MMM26832","3M","Spray Guns & PPS Systems","3M Performance Spray Gun",488.99,399.99,""
"MMM26712","3M","Spray Guns & PPS Systems","3M HVLP Atomizing Head Refill Kit 1.2",53.99,49.99,""
"MMM26713","3M","Spray Guns & PPS Systems","3M HVLP Atomizing Head Refill Kit 1.3",53.99,49.99,""
"MMM26714","3M","Spray Guns & PPS Systems","3M HVLP Atomizing Head Refill Kit 1.4",53.99,49.99,""
"SEM29362","SEM","Seam Sealers","SEM 1K SEAM SEALER - WHITE",30.99,27.99,""
